title,description,category,wholesale_price,selling_price,mrp,stock,gst_percent,hsn_code,image_url_1,image_url_2,image_url_3,is_active
Aashirwad Atta - 1kg,"Aashirwad Atta ? freshly milled whole wheat flour perfect for soft rotis and parathas, available in 1jkg.",Groceries,45,43,46,4000,5,1101,,,,
india twilight tryst - 1 pack,india twilight tryst ? energy-efficient lighting solution for home and office use.,Groceries,194,188,200,20,,,,,,
24 Mantra Organic 7 Grain Atta - 1kg,"24 Mantra Organic 7 Grain Atta ? freshly milled whole wheat flour perfect for soft rotis and parathas, available in 1kg.",Groceries,126,122,130,10,5,1101,,,,
24 Mantra Organic Ragi Flour(500g) - 1kg,"24 Mantra Organic Ragi Flour(500g) ? freshly milled whole wheat flour perfect for soft rotis and parathas, available in 1kg.",Groceries,44,42,45,10,5,1101,,,,
4700BC Gourmet Popcorn (Belgian Choco Caramel) - 60 g,"4700BC Gourmet Popcorn (Belgian Choco Caramel) ? crispy and delicious snack perfect for anytime munching, 60 g.",Groceries,48,46,49,10,5,1101,,,,
5 star chocolet - 1 pack,"5 star chocolet ? quality product for everyday use, 1 packe.",Groceries,10,9,10,50,18,1806,,,,
5 star mini treats - 1 pack,"5 star mini treats ? quality product for everyday use, 1 packed.",Groceries,116,113,120,40,18,1806,,,,
750ml reusable food container - 1 pack,"750ml reusable food container ? durable and convenient storage solution to keep food fresh, 1 pack.",Home,39,38,40,50,18,3923,,,,
Aava Alkaline Natural Mineral Water - 24 x 200 ml,"Aava Alkaline Natural Mineral Water ? pure and refreshing hydration for everyday use, 24 x 200 ml.",Groceries,466,452,480,50,12,2202,,,,
Aava Sparkling Water - 6 x 500 ml,"Aava Sparkling Water ? pure and refreshing hydration for everyday use, 6 x 500 ml.",Groceries,582,565,600,50,12,2202,,,,
Aazol Dry Garlic Coconut Chutney - 200 g,"Aazol Dry Garlic Coconut Chutney ? tangy and flavourful accompaniment to elevate every meal, 200 g.",Groceries,267,259,275,50,5,910,,,,
"Abhinn Oxidized Drop Earrings (Silver, Green) - 1 pair","Abhinn Oxidized Drop Earrings (Silver, Green) ? stylish accessory to complement your everyday look.",Fashion,"2,279","2,210","2,349",50,12,6204,,,,
Absolut Mixers (Raspberry & Lemon Flavoured) - 250 ml,Absolut Mixers (Raspberry & Lemon Flavoured) built for reliable daily home use with energy-efficient performance.,Electronics,97,94,100,50,18,8543,,,,
absorbia moisture absorber - 1 pack,"absorbia moisture absorber ? quality product for everyday use, 1 pack.",Health & Wellness,258,250,266,20,12,3005,,,,
Ace Blend Cordyceps Shroom Instant Coffee -Energy - 120 g(15 x 8 g),"Ace Blend Cordyceps Shroom Instant Coffee -Energy ? aromatic and refreshing brew to energise your day, 120 g(15 x 8 g).",Groceries,"1,454","1,410","1,499",20,,,,,,
Act II Butter Lover's Popcorn - Microwave - 30 GM,"Act II Butter Lover's Popcorn ? creamy and fresh butter, perfect for cooking and spreading, Microwave.",Electronics,27,26,28,20,18,8543,,,,
